Preferred MIME Name,Name,MIBenum,Source,Reference,Aliases,Note
,ISO-10646-UCS-4,1001,"the full code space. (same comment about byte order,
these are 31-bit numbers.",,csUCS4,
,ISO-10646-UCS-Basic,1002,"ASCII subset of Unicode.  Basic Latin = collection 1
See ISO 10646, Appendix A",,csUnicodeASCII,
,ISO-10646-Unicode-Latin1,1003,"ISO Latin-1 subset of Unicode. Basic Latin and Latin-1
Supplement  = collections 1 and 2.  See ISO 10646,
Appendix A.  See [RFC1815].",,"csUnicodeLatin1
ISO-10646",
,ISO-10646-J-1,1004,"ISO 10646 Japanese, see [RFC1815].",,csUnicodeJapanese,
,ISO-Unicode-IBM-1261,1005,"IBM Latin-2, -3, -5, Extended Presentation Set, GCSGID: 1261",,csUnicodeIBM1261,
,ISO-Unicode-IBM-1268,1006,"IBM Latin-4 Extended Presentation Set, GCSGID: 1268",,csUnicodeIBM1268,
,ISO-Unicode-IBM-1276,1007,"IBM Cyrillic Greek Extended Presentation Set, GCSGID: 1276",,csUnicodeIBM1276,
,ISO-Unicode-IBM-1264,1008,"IBM Arabic Presentation Set, GCSGID: 1264",,csUnicodeIBM1264,
,ISO-Unicode-IBM-1265,1009,"IBM Hebrew Presentation Set, GCSGID: 1265",,csUnicodeIBM1265,
,UNICODE-1-1,1010,[RFC1641],[RFC1641],csUnicode11,
,SCSU,1011,SCSU See [http://www.iana.org/assignments/charset-reg/SCSU]     [Markus_Scherer],,csSCSU,
,UTF-7,1012,[RFC2152],[RFC2152],csUTF7,
,UTF-16BE,1013,[RFC2781],[RFC2781],csUTF16BE,
,UTF-16LE,1014,[RFC2781],[RFC2781],csUTF16LE,
,UTF-16,1015,[RFC2781],[RFC2781],csUTF16,
,CESU-8,1016,[http://www.unicode.org/unicode/reports/tr26],[Toby_Phipps],"csCESU8
csCESU-8",
,UTF-32,1017,[http://www.unicode.org/unicode/reports/tr19/],[Mark_Davis],csUTF32,
,UTF-32BE,1018,[http://www.unicode.org/unicode/reports/tr19/],[Mark_Davis],csUTF32BE,
,UTF-32LE,1019,[http://www.unicode.org/unicode/reports/tr19/],[Mark_Davis],csUTF32LE,
,BOCU-1,1020,[http://www.unicode.org/notes/tn6/],[Markus_Scherer],"csBOCU1
csBOCU-1",
,ISO-8859-1-Windows-3.0-Latin-1,2000,"Extended ISO 8859-1 Latin-1 for Windows 3.0.
PCL Symbol Set id: 9U","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csWindows30Latin1,
,ISO-8859-1-Windows-3.1-Latin-1,2001,"Extended ISO 8859-1 Latin-1 for Windows 3.1.
PCL Symbol Set id: 19U","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csWindows31Latin1,
,ISO-8859-2-Windows-Latin-2,2002,"Extended ISO 8859-2.  Latin-2 for Windows 3.1.
PCL Symbol Set id: 9E","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csWindows31Latin2,
,ISO-8859-9-Windows-Latin-5,2003,"Extended ISO 8859-9.  Latin-5 for Windows 3.1
PCL Symbol Set id: 5T","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csWindows31Latin5,
,hp-roman8,2004,"LaserJet IIP Printer User's Manual,
HP part no 33471-90901, Hewlet-Packard, June 1989.","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.][RFC1345][Keld_Simonsen]","roman8
r8
csHPRoman8",
,Adobe-Standard-Encoding,2005,"PostScript Language Reference Manual
PCL Symbol Set id: 10J","[Adobe Systems Incorporated, PostScript Language Reference
Manual, second edition, Addison-Wesley Publishing Company,
Inc., 1990.]",csAdobeStandardEncoding,
